Stockcode,Descripiton,Cat,Sub Cat,SBU
RTC000072,N-SUCCINYL-ALA-ALA-PRO-PH,Chemistry,Reference Materials (RM),Custom RM & PT
QC3050-500ML,Residue,Chemistry,Reference Materials (RM),Custom RM & PT
SPE016-10G,DIOXIN AND FURANS IN SOIL,Chemistry,Reference Materials (RM),Custom RM & PT
SPE016TIS-10G,DIOXINS AND FURANS IN TIS,Chemistry,Reference Materials (RM),Custom RM & PT
SPE038-100G,PHENOLICS IN SOIL (TOX) -,Chemistry,Reference Materials (RM),Custom RM & PT
SQC074-30G,LEAD IN POWDERED PAINT,Chemistry,Reference Materials (RM),Custom RM & PT
AD0003-75MG,CEFAZOLIN SODIUM SALT,Chemistry,Reference Materials (RM),Custom RM & PT
5982-8082,SAMPLIQ ANHYDROUS MAG.SUL,Chemistry,Reference Materials (RM),Custom RM & PT
MIC004-2EA,Legionella in Water - WP,Chemistry,Reference Materials (RM),Custom RM & PT
QC1412-2ML,PHTHALATES IN WASTE WATER,Chemistry,Reference Materials (RM),Custom RM & PT
SPE012-30G,CHROMIUM VI IN SOIL - PT,Chemistry,Reference Materials (RM),Custom RM & PT
SPE013-30G,ANIONS IN SOIL - PT,Chemistry,Reference Materials (RM),Custom RM & PT
SPE068-50G,PCB CONGENERS IN SOIL - P,Chemistry,Reference Materials (RM),Custom RM & PT
PE1086-1KT,COMPLETE VOLATILES KIT -,Chemistry,Reference Materials (RM),Custom RM & PT
G2421-60001,ESI TUNING MIX 100ML,Chemistry,Reference Materials (RM),Custom RM & PT
AD0002-75MG,AMPICILLIN,Chemistry,Reference Materials (RM),Custom RM & PT
AD0005-75MG,CEFTAZIDIME HYDRATE,Chemistry,Reference Materials (RM),Custom RM & PT
5061-3334-1SET,"AMINO ACID STANDARD, 0.01",Chemistry,Reference Materials (RM),Custom RM & PT
AD0011-75MG,MINOCYCLINE HYDROCHLORIDE,Chemistry,Reference Materials (RM),Custom RM & PT
AD0018-75MG,CEFUROXIME,Chemistry,Reference Materials (RM),Custom RM & PT
8500-4394,"AGILENT  8500-4394 PFTBA,",Chemistry,Reference Materials (RM),Custom RM & PT
BK-10X5ML-B,AEK4 (human),Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
TA-10X5ML-B,MS-80/MS-258 (human),Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
TS-10ML-B,Anti-human globulin,Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
TB-1L-BK,BIOSCOT(R) Anti-s from,Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
TL-1L-BK,"TL-1L-BK TL, Birma-1 Anti",Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
TW-5ML-B,"TW, MS-273 Anti-C  1x5ml",Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
TS-1L-BK,Anti-Human Globulin,Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
GG-10X10ML-B,Anti-D IgM GG,Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
BE-1L-BK,BIOSCOT(R) Anti-Jkb from,Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
TJ-10X2ML-B,"TJ, Anti-S Reagent 10x2ml",Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
JU-125ML-BK,Monoclonal anti-C3d,Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
BE-2ML-B,"BE, MS-8 Anti-Jkb 1x2mL,",Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
BI-2ML-B,"BI, MS-15 Anti-Jka 1x2mL,",Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
GI-5ML-B,Anti-E from the clone,Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
NA-10X2ML-B,BO3 (murine),Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
TV-10X5ML-B,Anti-c clone MS-35 IgM,Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
TX-2ML-B,"TX, Anti Cw 1x2mL,",Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
TP-10X10ML-B,MS-201 (human),Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
TR-10X5ML-B,MS-56 (human),Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
TK-10X5ML-B,"TU, Anti-e Reagent 10x5ML",Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
KZ-1L-BKK,"KZ, Monoclonal IgM Anti-e",Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
GI-1L-BK,"GI-1L-BK GI, Anti-E Reage",Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
NB-10X2ML-U,BIOSCOT Anti-Lea from cl,Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
BI-1L-BK,BIOSCOT(R) Anti-Jka from,Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
BI-10X2ML-B,"BI, Anti-Jka Reagent",Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
BN-5ML-B,"BN,MS-24 Anti-C 1x5ML",Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
NY-2ML-B,"NY, Anti-Leb Reagent, 2mL",Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
TB-10X2ML-B,P3BER,Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
TX-10X2ML-B,MS-110 (human),Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
YIFRS639,IFRS15 REBATE SKU FOR SBU,Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
TX-1L-BK,BIOSCOT(R) Anti-Cw from,Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
NY-1L-BK,BIOSCOT(R) Anti-Leb from,Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
ND-2ML-B,"ND, Anti-P1 Reagent 1x2ml",Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
TU-5ML-B,"TU, MS16,21,63 Anti",Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
NZ-2ML-B,"NZ, Anti-k Reagent, 2mL",Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
GK-5ML-B,"GK, MS62/MS69 Anti-e1x5ml",Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
TR-5ML-B,"TR, MS56 Anti-K 1x5mL,",Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
TV-5ML-B,Anti-c clone MS-35 IgM,Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
JV-1L-BK,"JV, Monoclonal IgM Anti-D",Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
TK-1L-BK,"TK, MS-33 Anti-c Reagent",Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
BN-1L-BK,BIOSCOT(r)Anti-C from,Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
NY-10X2ML-B,Anti-Leb clone P3F234MD4,Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
NE-10X2ML-B,LM110/140 (murine),Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
TK-5ML-B,"TK, MS-33 Anti-c 1x5mL,",Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
BI-10X2ML-U,BIOSCOT Anti-Jka from cl,Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
GK-10X5ML-B,MS-62/MS-69 (human),Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
NW-5ML-B,"NW, Anti-Fya Reagent, 5mL",Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
BM-10X10ML-B,Anti-D IgM Reagent,Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
NZ-10X2ML-B,"NZ, Anti-k Reagent,10x2mL",Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
BE-10X2ML-B,"BE,Anti-Jkb Reagent",Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
NB-10X2ML-B,Anti-Lea clone GA2 IgA,Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
BN-10X5ML-B,BN MS-24 Anti-C 10x5ML,Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
TA-5ML-B,"TA, MS258/MS80 Anti-E",Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
BW-10X5ML-B,MS-24/MS-201/MS-80/MS-26,Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
ND-10X2ML-B,P3NIL100 (human),Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
TL-10X10ML-U,BIOSCOT Anti-A from clon,Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
G2933-85022,NCD CHECKOUT SAMPLE,Chemistry,Reference Materials (RM),Custom RM & PT
QC1040-2ML,NITROSAMINES/NITROAROMATI,Chemistry,Reference Materials (RM),Custom RM & PT
CNS329-50G,PCBS AND PBDES ON SANDY L,Chemistry,Reference Materials (RM),Custom RM & PT
5061-3339-100ML,BORATE BUFFER,Chemistry,Reference Materials (RM),Custom RM & PT
QC1050-1.5G,Residue,Chemistry,Reference Materials (RM),Custom RM & PT
QC1287-20ML,TRACE METALS AA SAMPLE 3,Chemistry,Reference Materials (RM),Custom RM & PT
QC1358-1KT,VOLATILE ORGANIC COMPOUND,Chemistry,Reference Materials (RM),Custom RM & PT
QC3083-250ML,OIL AND GREASE - WHOLE VO,Chemistry,Reference Materials (RM),Custom RM & PT
SPE001-30G,METALS IN SOIL - PT,Chemistry,Reference Materials (RM),Custom RM & PT
SPE026-100G,TPH IN SOIL - PT,Chemistry,Reference Materials (RM),Custom RM & PT
SPE037-100G,OIL AND GREASE IN SOIL -,Chemistry,Reference Materials (RM),Custom RM & PT
AD0008-75MG,DOXYCYCLINE HYCLATE,Chemistry,Reference Materials (RM),Custom RM & PT
MIC001-10EA,WS - MICROBIOLOGICAL PT,Chemistry,Reference Materials (RM),Custom RM & PT
YIFRS535,IFRS15 REBATE SKU FOR SBU,Chemistry,Reference Materials (RM),Custom RM & PT
8500-8433,"D4815 TIMING MIX, 1X1ML,",Chemistry,Reference Materials (RM),Custom RM & PT
QC3364-500ML,Anions - Whole Volume,Chemistry,Reference Materials (RM),Custom RM & PT
SPE002L-30G,VOAS IN SOIL - LOW LEVEL,Chemistry,Reference Materials (RM),Custom RM & PT
SPE011-30G,CYANIDE IN SOIL,Chemistry,Reference Materials (RM),Custom RM & PT
QC1132-20ML,Trace Metals 1,Chemistry,Reference Materials (RM),Custom RM & PT
AD0017-75MG,POTASSIUM CLAVULANATE,Chemistry,Reference Materials (RM),Custom RM & PT
5061-3331-1SET,"AMINO ACID STANDARD, 0.25",Chemistry,Reference Materials (RM),Custom RM & PT
G3440-85004,D5580 VALVE TIMING CALIBR,Chemistry,Reference Materials (RM),Custom RM & PT
QC1593-2ML,Ammonia,Chemistry,Reference Materials (RM),Custom RM & PT
SPE014-100G,NUTRIENTS IN SOIL - PT,Chemistry,Reference Materials (RM),Custom RM & PT
SPE062-4X25ML,HEAT OF COMBUSTION - LIQU,Chemistry,Reference Materials (RM),Custom RM & PT
SPE082-100G,SOLIDS IN SOIL - PT,Chemistry,Reference Materials (RM),Custom RM & PT
NW-10X5ML-B,P3TIM (human),Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
JU-1L-BK,"JU, Monoclonal IgM Anti-C",Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
TJ-1L-BK,BIOSCOT(R) Anti-S from,Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
TN-10X10ML-B,"TN, Anti-B Reagent",Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
TV-10L-BK,Anti-c clone MS-35 IgM,Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
TW-1L-BK,"TW-1L-BK TW, MS-273 Anti-",Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
JK-125ML-BK,"JK, Monoclonal Anti-Jkb",Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
TU-10X5ML-B,"TU, Anti-e Reagent 10x5mL",Diagnostics & Regulated Materials,Blood Typing,Blood Typing (CE)
RES3002E-A104X,"EDTA, 2NA SALT,2H2O ACS/U",Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
60229-25KG-F,POTASSIUM DIHYDROGEN PHOS,Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
RES0196M-B105X,"MOPSO, 10 KG",Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
RES1378A-A106X,"AMP, 17 L",Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
21102-25KG-F,CALCIUM CHLORIDE DIHYDRAT,Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
T1878-10KG,TRIZMA(R) PRE-SET CRYSTAL,Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
P8291-25KG,"POTASSIUM NITRATE, CRYSTA",Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
Q29426-200L,"HYDROGEN PEROXIDE, 3 WT.",Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
RES3098T-B171X,"TRIS HYDROCHLORIDE, 10 KG",Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
RES9010L-A104X,"SDS, 500 GM",Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
T5130-5KG,"TAPS, MINIMUM 99.5% (TITR",Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
108488.0250,UREA FOR BIOCHEMISTRY,Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
P5379-10KG,POTASSIUM PHOSPHATE MONOB,Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
RES1470C-A106X,"CAPSO, SODIUM SALT, 25 KG",Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
25107-25KG,POTASSIUM CITRATE TRIBASI,Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
T1378-100KG,SIGMA 7-9R,Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
Q80005-1L,CUSTOM BRIJ(R) L23 SOLUTI,Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
X114-5GA,TRITON X-114,Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
H4034-25KG,"HEPES, BIOPERFORMANCE CER",Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
RES0195M-A171X,"MOPS, 50 KG",Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
RES0704P-A150X,"PIPES, DISODIUM SALT, 10",Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
T3253-25KG,"TRIZMA(R) HYDROCHLORIDE,",Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
T1378-10KG,SIGMA 7-9R,Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
8720-4L,OmniPur 10X TAE Buffer,Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
G4505-25KG,"GUANIDINE HYDROCHLORIDE,",Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
B6185-10L,"BIONIC BUFFER, 10X CONCEN",Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
P5629-10KG,POTASSIUM PHOSPHATE TRIBA,Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
693017-5GM,ZWITTERGENT 3-14 Detergen,Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
S6191-10KG,"SODIUM CHLORIDE, BIOPERFO",Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
9410-1L,TRITON (TM) X-100 1L,Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
RES0197M-A105X,"MOPS, SODIUM SALT, 25 KG",Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
RES0290M-A104X,"MOPS, HEMISODIUM SALT, 10",Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
RES1434C-A150X,"SODIUM CITRATE, DIHYDRATE",Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
RES3094T-B107X,"TRIS, ULTRA PURE,  100 KG",Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
106129.0250,3-MORPHOLINOPROPANESULFON,Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
M8250-25KG,MES HYDRATE,Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
T0377-5KG,TRICINE,Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
T1378-50KG,SIGMA 7-9R,Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
115228.0250,"N,N-BIS(HYDROXYETHYL)-2-A",Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
475899-100GM,"MOPS, Sodium Salt, ULTROL",Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
T4415-10L,TRIS-BORATE-EDTA BUFFER B,Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
391338-100GM,"HEPES, Free Acid, ULTROL",Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
391338-1KG,"HEPES, Free Acid, ULTROL",Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
S3014-10KG,SODIUM CHLORIDE FOR MOLEC,Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
3297-U,HAZ MAT - CHEM. FLUORANTH,Chemistry,Reference Materials (RM),Custom RM & PT
QC1038-20ML,TRACE METALS (DISSOLVED),Chemistry,Reference Materials (RM),Custom RM & PT
QC1083-2ML,Oil & Grease,Chemistry,Reference Materials (RM),Custom RM & PT
77116-1EA-F,MICROLAB F.A.M.E. WASHER/,Chemistry,Reference Materials (RM),Custom RM & PT
MIC012-2EA,Standard Plate Count - WP,Chemistry,Reference Materials (RM),Custom RM & PT
QC1297-20ML,DEMAND - CONSTANT VALUE,Chemistry,Reference Materials (RM),Custom RM & PT
QC1313-1.2ML,VOLATILE ORGANIC COMPOUND,Chemistry,Reference Materials (RM),Custom RM & PT
G1946-85004,AGILENT G1946-85004 ES/AP,Chemistry,Reference Materials (RM),Custom RM & PT
G1946-85021,AGILENT G1946-85021 5M AM,Chemistry,Reference Materials (RM),Custom RM & PT
G1982-85002,CHIP CUBE HIGH MASS SOLVE,Chemistry,Reference Materials (RM),Custom RM & PT
AD0015-75MG,VANCOMYCIN HYDROCHLORIDE,Chemistry,Reference Materials (RM),Custom RM & PT
MIC005-2EA,TOTAL & FECAL STREPTOCOCC,Chemistry,Reference Materials (RM),Custom RM & PT
QC3060-500ML,ANIONS - WHOLE VOLUME,Chemistry,Reference Materials (RM),Custom RM & PT
QC3179-500ML,SIMPLE NUTRIENTS IN SEAWA,Chemistry,Reference Materials (RM),Custom RM & PT
SPE022-30G,NITROSAMINES/NITROAROMATI,Chemistry,Reference Materials (RM),Custom RM & PT
QC1033-2ML,PCBS IN WASTE WATER,Chemistry,Reference Materials (RM),Custom RM & PT
QC1051-2ML,Complex Nutrients,Chemistry,Reference Materials (RM),Custom RM & PT
QC1081-20ML,Turbidity,Chemistry,Reference Materials (RM),Custom RM & PT
872028-U,"D4518 ID MIX, 1X1ML, WT%",Chemistry,Reference Materials (RM),Custom RM & PT
RTC000073-20G,PHENOL,Chemistry,Reference Materials (RM),Custom RM & PT
5061-3330-1SET,"AMINO ACID STANDARD, 1.00",Chemistry,Reference Materials (RM),Custom RM & PT
5190-0466-1KT,IC KIT FOR AGILENT,Chemistry,Reference Materials (RM),Custom RM & PT
MIC007-2EA,E. coli in Drinking &,Chemistry,Reference Materials (RM),Custom RM & PT
QC1541-20ML,SULFITE IN WATER,Chemistry,Reference Materials (RM),Custom RM & PT
QC3381-500ML,CORROSIVITY/SODIUM - WHOL,Chemistry,Reference Materials (RM),Custom RM & PT
QC1034-20ML,Sulfide (Total and Solubl,Chemistry,Reference Materials (RM),Custom RM & PT
G1982-85003,CHIP CUBE LOW MASS REFERE,Chemistry,Reference Materials (RM),Custom RM & PT
QC1052-20ML,Trace Metals 2,Chemistry,Reference Materials (RM),Custom RM & PT
04229-5G,METTLER-TOLEDO CALIBRATIO,Chemistry,Reference Materials (RM),Custom RM & PT
31418-100MG,DEXTRAN STANDARD 12'000 F,Chemistry,Reference Materials (RM),Physical Properties
736171-8IN,"1,4-DIOXANE SOLUTION, NMR",Chemistry,Reference Materials (RM),Physical Properties
170223.0100,LITHIUM STANDARD SOLUTION,Chemistry,Reference Materials (RM),Physical Properties
170245.0500,Vanadium standard,Chemistry,Reference Materials (RM),Physical Properties
170323.0100,HOLMIUM ICP STANDARD 1000,Chemistry,Reference Materials (RM),Physical Properties
170334.0100,MOLYBDENUMSTANDARD,Chemistry,Reference Materials (RM),Physical Properties
42242-250ML,"Nickel Standard for AAS,",Chemistry,Reference Materials (RM),Physical Properties
188051.0010,WATER STANDARD 0.1%-,Chemistry,Reference Materials (RM),Physical Properties
51873-100ML,THALLIUM STANDARD FOR ICP,Chemistry,Reference Materials (RM),Physical Properties
199038.4000,Buffer solution (boric ac,Chemistry,Reference Materials (RM),Physical Properties
56255-500ML,"CONDUCTIVITY STANDARD, 50",Chemistry,Reference Materials (RM),Physical Properties
95872-1SET-F,COLOUR REFERENCE SOL. R A,Chemistry,Reference Materials (RM),Physical Properties
101203.0500,POTASSIUM CHLORIDE SOLUTI,Chemistry,Reference Materials (RM),Physical Properties
523321-1G,"POLY(2-VINYLPYRIDINE), SE",Chemistry,Reference Materials (RM),Physical Properties
107204.0105,REFERENCE BUFFER SOLOTION,Chemistry,Reference Materials (RM),Physical Properties
67913-100ML,NIOBIUM STANDARD FOR ICP,Chemistry,Reference Materials (RM),Physical Properties
B4770-1GA,"BUFFER, REFERENCE STANDAR",Chemistry,Reference Materials (RM),Physical Properties
110714.0500,ICP-MULTI-ELEMENT STANDAR,Chemistry,Reference Materials (RM),Physical Properties
170204.0100,ANTIMONY STANDARD SOLUTIO,Chemistry,Reference Materials (RM),Physical Properties
170226.0500,MERCURY STANDARD,Chemistry,Reference Materials (RM),Physical Properties
170245-0500,VANADIUMSTANDARD SOL.,Chemistry,Reference Materials (RM),Physical Properties
170318.01,Gadolinium ICP standard,Chemistry,Reference Materials (RM),Physical Properties
02363-250MG,POLY(METHACRYLIC ACID SOD,Chemistry,Reference Materials (RM),Physical Properties
106664.0103,SODIUM TARTRATE DIHYDR,Chemistry,Reference Materials (RM),Physical Properties
119781.0500,IRON STANDARD SOLUTION 10,Chemistry,Reference Materials (RM),Physical Properties
90006-100ML,CADMIUM (10G/L) STANDARD,Chemistry,Reference Materials (RM),Physical Properties
109953.0001,TITRISOL ZINC STANDARD SO,Chemistry,Reference Materials (RM),Physical Properties
05202-250ML,"Cobalt Standard for AAS,",Chemistry,Reference Materials (RM),Physical Properties
RES3077T-A104X,"TRICINE, 10 KG",Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
108488.5000,UREA FOR BIOCHEMISTRY,Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
300410-250MG,"Digitonin, High Purity (1",Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
391338-500GM,"HEPES, Free Acid, ULTROL",Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
67996-10L-F,TRIS-ACETAT-EDTA-PUFFERKO,Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
04277-25KG,SODIUM PHOSPHATE TRIBASIC,Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
T6687-10KG,TROMETHAMINE USP,Diagnostics & Regulated Materials,PM Biochemistry,PM BioChem Core
