Stockcode,Descripiton,blue_oracle_layout,LEGACY_FLAG,Cat,Sub Cat,SBU,HIERARCHY_L6_DESC,SOURCE_SUBSIDIARY
900000000000,MSSM10001 SOLID MEDIA MILLISNAP ADAPTER (100mL),MSSM10001,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
900000000000,"MXQKITSTI Stickers: for button, right, Milliflex Q",MXQKITSTI,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
910000000000,"EFHVW10IS EZ-Fit 0,45µm,PVDF whi,100 ml, no pad,si",EFHVW10IS,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),In Process Testing (072),1945 Merck Millipore France
1022390500,1022390500 PEPTONE FROM CASEIN PANCREATICALLY DIGES,,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),1190
1054430500,1054430500 NUTRIENT BROTH FOR MICROBIOLOGY (8 G FOR,,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),1190
1094400001,"1094400001 MAS-100 Iso NT® Tri-Clamp, S 1 PC",,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Environmental Monitoring (063),1190
1107070500,1107070500 KF STREPTOCOCCI AGAR (BASE) FOR MICROBIO,,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),1190
1109870500,1109870500 PHENOL-RED BROTH (BASE) FOR MICROBIOLOGY,,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),1190
1440240020,"1440240020 Blank Strip Kit, Contact Slides",,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Environmental Monitoring (063),1945 Merck Millipore France
1462690020,1462690020 Plate Count Agar 306E-20P,,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),1945 Merck Millipore France
1467490001,1467490001 Veg. Peptone Broth 10l Lynx 1PC,,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Environmental Monitoring (063),1945 Merck Millipore France
73082GB,73082GB GDS ROTOR-GENE Q LAPTOP INTL POWER CORD,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Pathogen Testing (078),2066 Aldrich Chemical Co. LLC (USA)
76020EU,76020EU GDS RG POWER CORD EU,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Pathogen Testing (078),2066 Aldrich Chemical Co. LLC (USA)
77408-500G,77408-500G Listeria mono Differential Agar (Base)N&,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2066 Aldrich Chemical Co. LLC (USA)
900000000000,XX6370000 U/V STERILIZER 115V/60HZ,XX6370000,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Other Lab Materials FB&O (080),1975 Merck Millipore USA
900000000000,EZCURVCHA EXTERNAL POWER SUPPLY/CHARGER FORBATTERY,EZCURVCHA,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology FB&O (068),1945 Merck Millipore France
900000000000,TQISVAL11 Equinox Isolator on-site IQ/OQ service,TQISVAL11,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1975 Merck Millipore USA
910000000000,RSMEDEV21 Milliflex Rapid BB remote MD consulting,RSMEDEV21,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
910000000000,MAMHIQOQPP MAS-100 Iso MH IQ OQ Printable Protocol,MAMHIQOQPP,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
910000000000,EZFLPFT EZ-Fluo Printable Functionality Testing,EZFLPFT,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology FB&O (068),1945 Merck Millipore France
940000000000,MASMH0R01 MAS-100 Iso MH inlet base O-ring 1.5x19,MASMH0R01,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
940000000000,RSMPP0WR1 ReadyStream Power supply unit,RSMPP0WR1,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology FB&O (068),1945 Merck Millipore France
900000000000,XX6320000 DUAL CHAMBER INC BASIC UNIT,XX6320000,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Other Lab Materials FB&O (080),1975 Merck Millipore USA
900000000000,MXPB0AR01 ELECTRONIC BOARD KIT FOR MFX+ PUMP,MXPB0AR01,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1961 Merck Millipore India
900000000000,MHA00MRS2 MRS liquid media ampoule,MHA00MRS2,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),In Process Testing (066),1975 Merck Millipore USA
900000000000,EZFITL0W01 EZFIT MANIFOLD 1 PLACE F/MICROFIL V OR S,EZFITL0W01,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),In Process Testing (072),1945 Merck Millipore France
900000000000,SYMBCHI01 STERITEST SYMB  HUB HOLDER ISO,SYMBCHI01,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Release Testing (064),1945 Merck Millipore France
900000000000,SILTUB45M Silicon tube 3.0 x 2.0 (45mm) lot of 2,SILTUB45M,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
000J009-SAMPLE,000J009-SAMPLE PK5 MULTI-LAYER DIOXIN TUBE,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Hygiene Monitoring (065),2066 Aldrich Chemical Co. LLC (USA)
1004650500,1004650500 DG 18 agar (base) 500 G,,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),1190
1054700500,1054700500 SIM (Sulfite Indole Motility 500 G,,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),1190
1065040250,1065040250 SODIUM DEOXYCHOLATE FOR MICROBIOLOGY,,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),1190
1079930500,1079930500 BAT-BOUILLON 500 G,,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),1190
11577-1KT-F,11577-1KT-F Peptone Testkit with Plant Peptones,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Other Lab Materials FB&O (080),2066 Aldrich Chemical Co. LLC (USA)
1193670001,1193670001 Bottomplate for MAS-100 NT 1 PC,,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
1465380200,1465380200 SDA Contact +LTHTh sel-ICR+ 851-200P,,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Environmental Monitoring (063),1945 Merck Millipore France
17158-500G,17158-500G Litmus MilkNutriSelect Plus,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2066 Aldrich Chemical Co. LLC (USA)
27688-100G,27688-100G Columbia AgarNutriSelect Plus,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2066 Aldrich Chemical Co. LLC (USA)
61300-5KG,61300-5KG LACTALBUMIN HYDROLYSATE,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2062
79107-SIAL,79107 GDS PPMX 4-COLUMN REAGENT RESERVOIR,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Pathogen Testing (078),2066 Aldrich Chemical Co. LLC (USA)
82962-5KG-F,82962-5KG-F PEPTONE ENZYMATIC DIGEST FROM MEAT,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2066 Aldrich Chemical Co. LLC (USA)
900000000000,MASPMSTD15 MAS-100 OS verif w/o service plan,MASPMSTD15,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1975 Merck Millipore USA
940000000000,"GM07620052100 TOOL, WASHER REVIVAL",GM07620052100,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology FB&O (068),1945 Merck Millipore France
940000000000,ATMRLRKIT MAS-100 Atmos head roller bearings,ATMRLRKIT,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
C8845-500G,C8845-500G Casein hydrolysate brothNutriSelect Plus,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2066 Aldrich Chemical Co. LLC (USA)
T3938-500G,T3938-500G Tryptone Soya Broth without DextroseNut&,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2066 Aldrich Chemical Co. LLC (USA)
900000000000,MXPP0WVHP ELECTRICAL HUB POWER SUPPLY,MXPP0WVHP,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
900000000000,SYMBFLE01US STERITEST SYMBIO FLEX  2 M US,SYMBFLE01US,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Release Testing (064),1945 Merck Millipore France
1091680001,1091680001 MAS-100 ISO NT Isolator Sys 1 PC,,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Environmental Monitoring (063),1190
1401410500,1401410500 Buffered Peptone Water 500 G,,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),1190
1464390020,1464390020 Tryptic Soy Broth w. LTH -20P,,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Release Testing (064),1945 Merck Millipore France
1464560010,1464560010 Thioglycollate B. 0.1l clear 490100D-10P,,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Release Testing (064),1945 Merck Millipore France
5324470001,5324470001 Independent stand for broth PACKAGING OF,,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Pathogen Testing (078),1190
5427600001,5427600001 Gravimetric Dilutor 1 UNIT,,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Pathogen Testing (078),1190
61312-500G,61312-500G Bismuth sulfite agar acc. GB,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2119
69088-250G,69088-250G,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2062
79114-SIAL,79114 GDS PPMX POWER CORD FOR UK,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Pathogen Testing (078),2066 Aldrich Chemical Co. LLC (USA)
79155-SIAL,79155 GDS PPMX TIP MOVER,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Pathogen Testing (078),2066 Aldrich Chemical Co. LLC (USA)
900000000000,SYMBLFH01SZ STERITEST SYMBIO LFH 2 MED SZ,SYMBLFH01SZ,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Release Testing (064),1945 Merck Millipore France
910000000000,MACGVAL11 MAS-100 Iso CG Ex on-site IQ/OQ service,MACGVAL11,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
910000000000,ASPMMEC104 MAS-100 Eco OS Total Service Plan,ASPMMEC104,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
910000000000,RDYSTRM20 ReadyStream® Dispensing Unit,RDYSTRM20,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),1945 Merck Millipore France
910000000000,"MXRDP2KT01 Milliflex Rapid 2.0 - kit, 1 PC",MXRDP2KT01,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Other Lab Materials Pharma (062),1945 Merck Millipore France
940000000000,MASMH0R04 MAS Iso MH Gemü valve O-ring  2x21,MASMH0R04,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
940000000000,"PPX79117 NUT, CASSETTE LOCK, PIPETMAX",PPX79117,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology FB&O (068),1975 Merck Millipore USA
CRM10006M-10EA,CRM10006M-10EA KLEBSIELLA AEROGENES (FORMERLY ENTEROBA&,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Other Lab Materials FB&O (080),2062
CRM13170M-10EA,CRM13170M-10EA CLOSTRIDIUM PERFRINGENS NCTC 13170 MEDIU,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Other Lab Materials FB&O (080),2062
T7293-250G,T7293-250G TRYPTONE MICROBIOLOGICALLY TESTED,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2066 Aldrich Chemical Co. LLC (USA)
900000000000,MXRPGLASS Glass nebulizer for spray station,MXRPGLASS,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
900000000000,EZSWIRE01 ELECTRICAL CONNECTOR,EZSWIRE01,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology FB&O (068),1945 Merck Millipore France
900000000000,EZCBUTT0M POWER ON / OFF,EZCBUTT0M,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology FB&O (068),1945 Merck Millipore France
0120214-55X5L,0120214-55X5L BUFFERED PEPTONE WATER IN BAGS,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2002
1053230250,1053230250 D(-)-FRUCTOSE FOR MICROBIOLOGY,,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),1190
1173540001,1173540001 Pressure Tube Atmos   2m w 1 PC,,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Environmental Monitoring (063),1190
1467830200,1467830200 TSA w. LTHThio cont.-ICR+ -200P,,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Environmental Monitoring (063),1945 Merck Millipore France
1665070120-CN,1665070120-CN TSA +LTHTh -ICR 90mm 120 P,,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Environmental Monitoring (063),1213 Merck Life Science Tech. Nantong
17134-100G,17134-100G CPC-Agar (Base)NutriSelect Plus,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2066 Aldrich Chemical Co. LLC (USA)
900000000000,"EZFKIT001EU EZ Fluo reader, camera and EU power cord",EZFKIT001EU,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Other Lab Materials FB&O (080),1945 Merck Millipore France
900000000000,MXQUPSCCB COMMUNICATION CABLE FOR NEW OLED QUANTUM,MXQUPSCCB,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
910000000000,MM2PMSTD14 Oasis Optional second OS maintenance,MM2PMSTD14,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
910000000000,1459660001 Electronic board RCS HFT - version 2023,1459660001,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1961 Merck Millipore India
910000000000,TSTRAIN22 Sterility testing PQ guidelines eLearn,TSTRAIN22,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
940000000000,MASVFPCB1 Main PCB for MAS-100 VF,MASVFPCB1,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
940000000000,MASMHMPBC MAS Iso MH main PCB with processor board,MASMHMPBC,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
940000000000,ATMPRSENS MAS-100 Atmos Pressure sensor,ATMPRSENS,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
900000000000,TZHAMD210 Steritest® NEO MEDICAL DEV BAGS MCE,TZHAMD210,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Release Testing (064),1945 Merck Millipore France
900000000000,MXPELCVHP VHP CABLES SET FOR MFX ELECTRICAL HUB,MXPELCVHP,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
900000000000,TTHA0F210 STERISURE HA 10/PK,TTHA0F210,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Release Testing (064),1945 Merck Millipore France
900000000000,ATBTUBE01 Reinforced Silicone Tubing 3m,ATBTUBE01,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
900000000000,"EFHAB250I EZ-FIT FUNNEL 250ML BLACK MEMBR 0,45µM",EFHAB250I,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),In Process Testing (072),1945 Merck Millipore France
900000000000,SYMBFEE02 ST SYMBIO FEET 23 MM FOR HOODS,SYMBFEE02,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Release Testing (064),1945 Merck Millipore France
1059780500,1059780500 OGYE AGAR BASIS 500 G,,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),1190
1665060020-CN,1665060020-CN TSA +LT 90mm ICR 20 P,,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),Environmental Monitoring (063),1213 Merck Life Science Tech. Nantong
17774-10X10ML-F,"17774-10X10ML-F POTASSIUM TELLURITE SOLUTION, PGE WITH",,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2062
34726-100,34726-100 GDS DNA SWAB RESUSPENSION BUFFER TQ,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Pathogen Testing (078),2066 Aldrich Chemical Co. LLC (USA)
72548-100G,72548-100G Nitrate BrothNutriSelect Plus,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2066 Aldrich Chemical Co. LLC (USA)
74226-1SET-F,74226-1SET-F COAGULASE TEST (TUBES)*,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Other Lab Materials FB&O (080),2066 Aldrich Chemical Co. LLC (USA)
79174-SIAL,79174 GDS PPMX GEL COOLING BLOCK,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Pathogen Testing (078),2066 Aldrich Chemical Co. LLC (USA)
900000000000,RSVALID11 On Site Rapid Micro Validation IQ/OQ,RSVALID11,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1975 Merck Millipore USA
900000000000,GSPMTVL16 Service Plan Travel zone 6,GSPMTVL16,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1975 Merck Millipore USA
900000000000,BSTRAIN12 Milliflex Advanced Operator Training,BSTRAIN12,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1975 Merck Millipore USA
910000000000,MANTIQOQPP MAS-100 NT IQ OQ Printable Protocol,MANTIQOQPP,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
940000000000,MASMHBLC0 MAS Iso MH blind cover valve unit,MASMHBLC0,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
940000000000,"5249 Modified Scholten""s Broth",5249,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),1945 Merck Millipore France
95586-500G,95586-500G XLD AgarNutriSelect Basic,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Media (079),2062
BK015HA,"BK015HA BRAIN HEART BROTH, 500 G",,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Hygiene Monitoring (065),2066 Aldrich Chemical Co. LLC (USA)
VT000243-10EA,VT000243-10EA PSEUDOMONAS AERUGINOSA WDCM 00024 VITROI,,RED,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),Other Lab Materials FB&O (080),2062
900000000000,MXEF50024 MILLIFLEX 500 ML EXTENSION FUNNEL,MXEF50024,BLUE,Biomonitoring (LA2),Pharma Microbiology (C51),Pharma Microbiology (H6),In Process Testing (072),1945 Merck Millipore France
900000000000,GSWG047S6 0.22um White Gridded S-Pak 47mm 600/Pk,GSWG047S6,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),In Process Testing (066),1945 Merck Millipore France
900000000000,MISP00015 MICROFIL SYRINGE SPARE P KIT,MISP00015,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology FB&O (068),1945 Merck Millipore France
900000000000,MIACHVP01 MICROFIL HAND VACUUM PUMP,MIACHVP01,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),In Process Testing (066),1945 Merck Millipore France
900000000000,HAWG647SP White Gridded 47mm filter + absbant pads,HAWG647SP,BLUE,Biomonitoring (LA2),FB&O Microbiology (C52),FB&O Microbiology (H7),In Process Testing (066),1945 Merck Millipore France
900000000000,MXRPPUMKT MAINTENANCE KIT PUMP SPRAYER MILL RAPID,MXRPPUMKT,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
900000000000,EZCC0VERD RIGHT COVER WITH STICKER,EZCC0VERD,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology FB&O (068),1945 Merck Millipore France
900000000000,SBRTRBLKT ROTOR TRANSMISSION BELT KIT FOR SYMBIO,SBRTRBLKT,BLUE,Biomonitoring (LA2),Services Microbiology (C53),Services Microbiology (H8),Services Microbiology Pharma (067),1945 Merck Millipore France
